;x;y;timestamp
0;7;9;7222
1;7;9;7838
2;7;9;7875
3;7;9;7961
4;7;9;8060
5;2;7;8164
6;0;7;8259
7;0;7;8357
8;0;7;8438
9;0;7;8534
10;6;6;8614
11;13;7;8705
12;15;7;8799
13;14;7;8889
14;14;7;8969
15;15;7;9063
16;14;7;9156
17;7;7;9249
18;7;7;9347
19;7;7;9451
20;7;9;9545
21;7;9;9646
22;7;9;9746
23;7;9;9849
24;7;9;9947
25;7;9;10046
26;7;8;10148
27;8;8;10248
28;8;8;10346
29;9;8;10446
30;8;6;10550
31;7;6;10647
32;7;7;10747
33;9;4;10847
34;9;4;10948
35;9;5;11047
36;8;8;11146
37;8;8;11245
38;8;7;11348
39;10;2;11447
40;10;3;11545
41;9;4;11648
42;8;4;11747
43;8;4;11846
44;8;4;11945
45;8;5;12049
46;5;11;12146
47;6;8;12247
48;7;7;12344
49;9;7;12448
50;9;7;12546
51;9;7;12644
52;9;7;12736
53;9;7;12829
54;8;7;12925
55;8;7;13028
56;9;7;13124
57;8;7;13227
58;8;7;13324
59;8;7;13423
60;8;7;13522
61;8;7;13589
62;8;7;13623
63;8;7;13665
64;8;7;13711
65;8;8;13756
66;7;8;13798
67;8;8;13848
68;8;8;13884
69;8;8;13929
70;8;8;13964
71;8;8;13995
72;8;8;14032
73;8;8;14063
74;8;8;14108
75;8;8;14150
76;8;8;14201
77;8;8;14248
78;8;8;14289
79;8;8;14330
80;8;8;14370
81;8;8;14396
82;8;8;14428
83;8;8;14469
84;8;8;14512
85;8;8;14570
86;7;10;14620
87;7;10;14669
88;7;10;14715
89;7;9;14760
90;9;9;14817
91;9;9;14852
92;9;9;14897
93;9;9;14934
94;9;9;14983
95;9;9;15031
96;9;9;15077
97;7;7;15117
98;7;7;15160
99;7;7;15196
100;6;7;15238
101;7;7;15285
102;7;7;15334
103;7;7;15377
104;7;7;15416
105;8;7;15450
106;8;7;15493
107;8;7;15541
108;8;7;15590
109;8;7;15619
110;8;7;15664
111;8;7;15703
112;6;8;15751
113;6;8;15796
114;6;8;15838
115;7;8;15888
116;7;8;15918
117;7;8;15963
118;7;8;16011
119;8;8;16047
120;7;8;16088
121;8;8;16128
122;8;8;16173
123;8;8;16216
124;8;8;16258
125;8;8;16307
126;8;8;16352
127;8;8;16393
128;8;8;16437
129;5;8;16470
130;6;8;16516
131;6;8;16554
132;6;8;16586
133;7;8;16619
134;6;8;16651
135;6;8;16686
136;7;8;16719
137;7;8;16755
138;7;8;16785
139;8;8;16820
140;8;8;16866
141;8;8;16890
142;8;8;16924
143;7;8;16949
144;7;8;16975
145;7;8;17006
146;7;8;17030
147;7;8;17052
148;8;8;17077
149;8;8;17098
150;8;8;17123
151;8;8;17147
152;8;8;17166
153;10;10;17188
154;11;11;17211
155;12;12;17232
156;13;12;17266
157;13;12;17297
158;12;12;17329
159;12;12;17357
160;12;12;17377
161;12;12;17398
162;12;12;17420
163;12;12;17444
164;12;12;17477
165;12;12;17508
166;12;12;17534
167;12;12;17555
168;12;12;17578
169;12;12;17599
170;12;12;17622
171;12;12;17653
172;12;12;17687
173;12;12;17714
174;12;12;17732
175;12;12;17753
176;12;12;17777
177;12;12;17809
178;12;12;17843
179;12;12;17865
180;12;12;17900
181;12;12;17923
182;12;12;17944
183;12;12;17965
184;12;12;17987
185;12;12;18010
186;12;12;18032
187;12;12;18067
188;12;12;18101
189;12;12;18131
190;12;12;18153
191;12;12;18177
192;12;12;18199
193;12;12;18223
194;12;12;18245
195;12;12;18267
196;12;12;18299
197;12;12;18331
198;12;12;18352
199;12;12;18376
200;12;12;18399
201;12;12;18422
202;12;12;18448
203;12;12;18466
204;12;12;18489
205;12;12;18510
206;12;12;18546
207;12;12;18575
208;12;12;18596
209;11;12;18630
210;9;12;18659
211;7;12;18698
212;5;12;18718
213;3;12;18744
214;3;12;18776
215;2;11;18805
216;2;11;18847
217;2;11;18865
218;2;11;18898
219;2;11;18922
220;2;11;18943
221;2;11;18965
222;2;11;18987
223;2;11;19014
224;2;11;19046
225;2;11;19078
226;2;11;19100
227;2;11;19121
228;2;11;19145
229;2;11;19165
230;2;11;19187
231;2;11;19213
232;2;11;19245
233;2;11;19276
234;2;11;19297
235;2;11;19320
236;2;11;19345
237;2;11;19366
238;2;11;19392
239;2;11;19412
240;2;11;19432
241;2;11;19455
242;2;11;19477
243;2;11;19509
244;2;11;19543
245;2;11;19579
246;2;11;19599
247;2;11;19619
248;2;11;19643
249;2;11;19664
250;1;10;19698
251;1;9;19729
252;1;9;19753
253;1;9;19780
254;1;9;19799
255;1;9;19822
256;1;9;19845
257;1;9;19865
258;1;9;19886
259;1;9;19921
260;1;9;19955
261;1;9;19975
262;1;9;19997
263;1;9;20020
264;1;9;20044
265;1;9;20076
266;1;9;20110
267;1;9;20135
268;1;9;20154
269;1;9;20178
270;1;9;20200
271;1;9;20231
272;1;9;20264
273;1;9;20286
274;1;9;20321
275;1;9;20348
276;1;9;20366
277;1;9;20389
278;1;9;20410
279;1;9;20446
280;1;9;20476
281;1;9;20497
282;3;6;20532
283;5;6;20556
284;7;6;20577
285;9;6;20599
286;10;6;20623
287;10;6;20645
288;12;6;20665
289;13;7;20690
290;14;7;20721
291;14;8;20753
292;14;8;20777
293;14;8;20798
294;14;9;20820
295;14;9;20845
296;14;9;20865
297;14;9;20889
298;15;9;20923
299;15;9;20953
300;14;9;20975
301;14;10;20997
302;14;10;21019
303;14;10;21046
304;14;10;21068
305;14;10;21087
306;14;10;21111
307;14;10;21132
308;14;10;21166
309;14;10;21198
310;14;10;21220
311;14;10;21256
312;14;10;21277
313;14;10;21298
314;14;10;21320
315;14;11;21345
316;13;11;21365
317;13;12;21399
318;13;12;21431
319;13;12;21455
320;13;12;21488
321;13;12;21511
322;13;12;21532
323;13;12;21555
324;13;12;21578
325;13;12;21599
326;13;12;21625
327;13;12;21653
328;13;12;21687
329;13;12;21711
330;13;12;21731
331;13;12;21754
332;13;12;21778
333;13;12;21798
334;13;12;21823
335;13;12;21855
336;13;12;21887
337;13;12;21910
