;x;y;timestamp
0;11;12;14753
1;12;11;14873
2;9;11;14971
3;9;13;15002
4;8;13;15038
5;8;14;15078
6;10;14;15113
7;11;15;15161
8;10;14;15199
9;10;14;15238
10;10;14;15284
11;10;14;15329
12;10;14;15369
13;10;14;15406
14;11;14;15438
15;11;14;15471
16;11;15;15504
17;11;13;15549
18;10;13;15595
19;10;13;15640
20;8;12;15695
21;10;13;15729
22;10;14;15770
23;10;14;15812
24;11;14;15849
25;11;8;15896
26;10;8;15932
27;10;8;15965
28;12;9;15997
29;12;9;16036
30;12;9;16076
31;12;9;16126
32;13;9;16171
33;13;9;16226
34;13;9;16272
35;13;9;16304
36;13;9;16350
37;11;8;16397
38;12;8;16437
39;11;8;16479
40;13;9;16531
41;13;8;16565
42;13;8;16604
43;13;8;16650
44;13;8;16697
45;13;6;16737
46;15;0;16780
47;15;0;16829
48;15;0;16862
49;13;0;16907
50;14;0;16952
51;14;0;16987
52;14;0;17019
53;14;0;17052
54;11;10;17099
55;9;11;17137
56;9;12;17181
57;12;12;17228
58;12;12;17270
59;10;11;17309
60;10;11;17356
61;10;11;17398
62;11;11;17437
63;11;11;17485
64;11;11;17519
65;9;14;17563
66;10;15;17607
67;10;15;17655
68;9;15;17698
69;9;15;17740
70;9;15;17773
71;11;15;17817
72;11;15;17866
73;12;15;17909
74;12;15;17953
75;12;15;17997
76;12;15;18033
77;9;16;18073
78;9;16;18121
79;9;16;18167
80;10;17;18214
81;10;17;18256
82;10;17;18300
83;10;16;18331
84;10;16;18364
85;9;15;18398
86;9;15;18441
87;9;15;18499
88;9;15;18552
89;13;16;18603
90;13;15;18652
91;13;15;18696
92;14;16;18745
93;13;15;18787
94;14;16;18830
95;13;16;18873
96;13;16;18920
97;13;16;18968
98;13;16;19010
99;13;16;19056
100;13;16;19099
101;13;17;19141
102;10;13;19174
103;12;13;19221
104;11;14;19267
105;12;14;19314
106;12;14;19348
107;13;13;19392
108;12;13;19434
109;9;13;19469
110;9;12;19504
111;11;13;19535
112;12;13;19585
113;12;13;19622
114;11;13;19666
115;11;13;19708
116;11;13;19748
117;12;13;19781
118;12;13;19814
119;12;13;19852
120;12;13;19893
121;12;13;19935
122;12;13;19971
123;13;13;20004
